-----------------------
Number of nodes: 64
Chebyshev Partition
0.641107 -0.00297106 0.00359639 0.114399
0.641129 -0.00300511 0.00111677 -0.0113285
0.641173 -0.00304443 0.00160727 0.000861562
0.641239 -0.00311268 0.00155143 -0.000989466
0.64133 -0.00320426 0.0016367 -0.000707164
0.641447 -0.00332409 0.0017126 -0.00082276
0.641592 -0.00347501 0.00181811 -0.000877613
0.641769 -0.00366187 0.00194871 -0.000966782
0.641982 -0.0038907 0.00211214 -0.00107588
0.642235 -0.00416944 0.00231534 -0.0012157
0.642536 -0.00450844 0.00256849 -0.00139454
0.642893 -0.00492129 0.0028852 -0.00162562
0.643315 -0.00542598 0.00328415 -0.00192753
0.643818 -0.00604662 0.00379137 -0.00232746
0.644418 -0.00681589 0.00444362 -0.0028659
0.645138 -0.0077788 0.0052938 -0.00360446
0.646009 -0.00899843 0.00641969 -0.00463946
0.647074 -0.010565 0.00793823 -0.00612558
0.648388 -0.0126102 0.0100299 -0.00831924
0.650034 -0.0153319 0.0129817 -0.0116635
0.652127 -0.0190353 0.0172656 -0.0169402
0.65484 -0.0242073 0.0236842 -0.0256635
0.658439 -0.0316571 0.0336822 -0.0406295
0.663346 -0.0427839 0.0499068 -0.0684231
0.670262 -0.0601614 0.0778314 -0.120966
0.680421 -0.0887179 0.128144 -0.236962
0.696129 -0.138945 0.228313 -0.474408
0.722016 -0.233203 0.431598 -1.1095
0.768038 -0.427285 0.912295 -2.05367
0.855974 -0.823749 1.80967 -1.94727
1.02167 -1.47956 2.66572 20.4548
1.23186 -0.93637 -6.35916 1.20638e-13
1.23186 0.93637 -6.35916 -20.4548
1.02167 1.47956 2.66572 1.94727
0.855974 0.823749 1.80967 2.05367
0.768038 0.427286 0.912295 1.1095
0.722016 0.233203 0.431598 0.474408
0.696129 0.138945 0.228313 0.236962
0.680421 0.0887178 0.128144 0.120966
0.670262 0.0601612 0.0778314 0.0684231
0.663346 0.0427837 0.0499068 0.0406295
0.658439 0.031657 0.0336822 0.0256635
0.65484 0.0242072 0.0236842 0.0169402
0.652127 0.0190351 0.0172656 0.0116635
0.650034 0.0153318 0.0129817 0.00831924
0.648388 0.0126102 0.0100299 0.00612558
0.647074 0.0105649 0.00793823 0.00463946
0.646009 0.0089984 0.00641969 0.00360446
0.645138 0.00777878 0.0052938 0.0028659
0.644418 0.00681588 0.00444362 0.00232746
0.643818 0.00604662 0.00379137 0.00192753
0.643315 0.00542598 0.00328415 0.00162562
0.642893 0.00492128 0.0028852 0.00139454
0.642536 0.00450843 0.00256849 0.0012157
0.642235 0.00416943 0.00231534 0.00107588
0.641982 0.00389069 0.00211214 0.000966782
0.641769 0.00366187 0.00194871 0.000877613
0.641592 0.00347501 0.00181811 0.00082276
0.641447 0.00332409 0.0017126 0.000707164
0.64133 0.00320426 0.0016367 0.000989466
0.641239 0.00311268 0.00155143 -0.000861562
0.641173 0.00304443 0.00160727 0.0113285
0.641129 0.00300511 0.00111677 -0.114399
Elapsed time: 0.0036955s
