-----------------------
Number of nodes: 128
Uniform Partition
0.846642 1.59444 0.632973 -79.1911
0.871599 1.55546 -3.10834 23.6233
0.895416 1.47514 -1.99228 -3.96465
0.918137 1.40944 -2.17959 3.37461
0.939805 1.3433 -2.02016 1.34352
0.960464 1.28067 -1.95668 1.81364
0.980154 1.22039 -1.871 1.60585
0.998915 1.16266 -1.79513 1.5736
1.01679 1.10729 -1.72079 1.48963
1.0338 1.0542 -1.65041 1.41607
1.05 1.00327 -1.58351 1.33736
1.06541 0.954394 -1.52033 1.2586
1.08007 0.907446 -1.46087 1.17923
1.094 0.862312 -1.40516 1.10012
1.10724 0.818873 -1.35318 1.02162
1.1198 0.777014 -1.30492 0.944173
1.13172 0.736616 -1.26031 0.868094
1.14301 0.697567 -1.2193 0.793675
1.1537 0.659755 -1.1818 0.721159
1.1638 0.623069 -1.14773 0.65075
1.17333 0.587404 -1.11699 0.582621
1.1823 0.552657 -1.08946 0.516916
1.19074 0.518728 -1.06504 0.453754
1.19864 0.485521 -1.0436 0.393234
1.20603 0.452944 -1.02502 0.33544
1.21291 0.42091 -1.00918 0.280439
1.21929 0.389333 -0.995927 0.228287
1.22518 0.358135 -0.985142 0.179032
1.23057 0.32724 -0.976684 0.132716
1.23548 0.296577 -0.970414 0.0893746
1.23991 0.26608 -0.966191 0.0490407
1.24386 0.235685 -0.963874 0.0117465
1.24734 0.205335 -0.963319 -0.0224763
1.25033 0.174978 -0.964381 -0.0535947
1.25285 0.144564 -0.966913 -0.0815739
1.25488 0.114049 -0.970767 -0.106376
1.25644 0.0833945 -0.975793 -0.127962
1.25751 0.0525657 -0.981838 -0.146287
1.25809 0.0215328 -0.988749 -0.161305
1.25819 -0.00972897 -0.99637 -0.172968
1.25779 -0.0412394 -1.00454 -0.181227
1.25689 -0.0730134 -1.0131 -0.186029
1.25549 -0.105061 -1.02189 -0.187326
1.25358 -0.137386 -1.03074 -0.185068
1.25116 -0.169988 -1.03949 -0.179211
1.24822 -0.202861 -1.04795 -0.169715
1.24477 -0.235993 -1.05597 -0.156547
1.24079 -0.269369 -1.06337 -0.139682
1.23628 -0.302965 -1.06997 -0.119106
1.23124 -0.336753 -1.07559 -0.0948175
1.22567 -0.3707 -1.08007 -0.0668281
1.21957 -0.404768 -1.08323 -0.0351654
1.21292 -0.438912 -1.08489 0.000125879
1.20574 -0.473082 -1.08488 0.0389827
1.19802 -0.507222 -1.08304 0.0813222
1.18977 -0.541273 -1.0792 0.127041
1.18098 -0.575169 -1.0732 0.176014
1.17165 -0.60884 -1.06488 0.228094
1.1618 -0.64221 -1.05411 0.283112
1.15143 -0.6752 -1.04073 0.340877
1.14054 -0.707725 -1.02463 0.401176
1.12914 -0.739698 -1.00567 0.463773
1.11725 -0.771028 -0.983764 0.528414
1.10486 -0.80162 -0.9588 0.594825
1.092 -0.831376 -0.930698 0.662715
1.07868 -0.860196 -0.899388 0.731776
1.06491 -0.887979 -0.864816 0.801687
1.05072 -0.91462 -0.826941 0.872117
1.03611 -0.940017 -0.785739 0.942725
1.02112 -0.964063 -0.741201 1.01317
1.00576 -0.986654 -0.693335 1.08309
0.990052 -1.00769 -0.642165 1.15216
0.974028 -1.02705 -0.587732 1.22002
0.957713 -1.04466 -0.530094 1.28634
0.941135 -1.0604 -0.469322 1.35081
0.924325 -1.07417 -0.405504 1.41312
0.907314 -1.08589 -0.338742 1.47298
0.890135 -1.09547 -0.269153 1.53013
0.872822 -1.10281 -0.196863 1.58434
0.855413 -1.10783 -0.122013 1.6354
0.837943 -1.11045 -0.0447494 1.68315
0.820451 -1.11061 0.0347697 1.72746
0.802976 -1.10823 0.116382 1.76822
0.78556 -1.10325 0.19992 1.80539
0.768242 -1.09561 0.285214 1.83896
0.751066 -1.08526 0.372094 1.86896
0.734075 -1.07215 0.460391 1.89548
0.717313 -1.05624 0.549941 1.91863
0.700823 -1.03749 0.640585 1.93859
0.684651 -1.01587 0.732173 1.95557
0.668842 -0.991355 0.824562 1.96982
0.653442 -0.963919 0.917624 1.98163
0.638498 -0.933543 1.01124 1.99132
0.624055 -0.900212 1.10532 1.99924
0.61016 -0.863911 1.19978 2.00577
0.596861 -0.82463 1.29454 2.0113
0.584203 -0.782361 1.38956 2.01624
0.572235 -0.737095 1.48481 2.02099
0.561004 -0.688826 1.58029 2.02596
0.550556 -0.637545 1.67601 2.03154
0.540939 -0.583246 1.77199 2.03812
0.532202 -0.525919 1.86828 2.04604
0.524391 -0.465554 1.96494 2.05563
0.517555 -0.402136 2.06205 2.06717
0.511741 -0.335652 2.15972 2.08093
0.506999 -0.266081 2.25803 2.09713
0.503377 -0.193402 2.35711 2.11601
0.500924 -0.117588 2.45707 2.1378
0.49969 -0.0386089 2.55807 2.16282
0.499725 0.0435696 2.66025 2.19152
0.501079 0.128988 2.76379 2.22464
0.503805 0.217691 2.86889 2.26335
0.507953 0.309734 2.97582 2.30957
0.513578 0.405179 3.08493 2.36639
0.520733 0.504103 3.19673 2.43866
0.529474 0.606602 3.31194 2.5344
0.539858 0.712801 3.43168 2.66491
0.551945 0.822868 3.55758 2.85303
0.565797 0.937041 3.69237 3.11607
0.581481 1.05565 3.83959 3.5522
0.599072 1.17923 4.00741 4.05596
0.618652 1.30846 4.19903 5.44586
0.64032 1.44477 4.45631 5.37327
0.664199 1.58912 4.71017 13.8081
0.690446 1.74775 5.36252 -4.33501
0.719283 1.91342 5.15772 85.778
0.75103 2.13969 9.21022 -211.567
Elapsed time: 0.0092351s
