-----------------------
Number of nodes: 128
Uniform Partition
2.44283 -nan(ind) -nan(ind) -nan(ind)
2.58986 -nan(ind) -nan(ind) -nan(ind)
2.72569 8.43062 -32.7591 2.32773
2.85034 7.72069 -32.6491 3.86063
2.96385 7.01361 -32.4667 5.2785
3.06627 6.3109 -32.2174 6.59077
3.15769 5.61398 -31.906 7.80576
3.23822 4.92418 -31.5372 8.9308
3.30797 4.24271 -31.1153 9.97241
3.36711 3.57069 -30.6441 10.9364
3.41579 2.90918 -30.1275 11.8279
3.45417 2.25914 -29.5687 12.6517
3.48247 1.62145 -28.9709 13.4118
3.50087 0.996951 -28.3373 14.1122
3.5096 0.386398 -27.6706 14.756
3.50888 -0.209508 -26.9735 15.3466
3.49895 -0.790122 -26.2484 15.8866
3.48006 -1.35486 -25.4979 16.3787
3.45246 -1.90317 -24.7241 16.8252
3.41643 -2.43457 -23.9292 17.2282
3.37222 -2.94861 -23.1153 17.5898
3.32012 -3.4449 -22.2842 17.9116
3.26041 -3.92308 -21.438 18.1954
3.19339 -4.38282 -20.5784 18.4427
3.11933 -4.82384 -19.7071 18.655
3.03855 -5.24591 -18.8258 18.8335
2.95135 -5.64881 -17.936 18.9794
2.85801 -6.03237 -17.0393 19.0939
2.75887 -6.39646 -16.1372 19.1781
2.65421 -6.74095 -15.2312 19.2329
2.54435 -7.06579 -14.3226 19.2592
2.4296 -7.3709 -13.4127 19.2579
2.31027 -7.65629 -12.5029 19.2298
2.18667 -7.92195 -11.5944 19.1756
2.05912 -8.16793 -10.6884 19.096
1.92791 -8.39428 -9.78625 18.9917
1.79337 -8.60109 -8.88901 18.8633
1.65579 -8.78849 -7.99783 18.7115
1.51547 -8.9566 -7.11382 18.5367
1.37273 -9.10559 -6.23807 18.3395
1.22786 -9.23564 -5.37164 18.1203
1.08116 -9.34696 -4.51556 17.8798
0.932911 -9.43979 -3.67084 17.6183
0.783412 -9.51437 -2.83848 17.3364
0.632943 -9.57098 -2.01944 17.0344
0.481784 -9.60992 -1.21467 16.7128
0.330211 -9.63149 -0.425085 16.372
0.178493 -9.63603 0.348396 16.0125
0.026893 -9.6239 1.10489 15.6347
-0.124329 -9.59548 1.84354 15.239
-0.274923 -9.55114 2.56349 14.8259
-0.424641 -9.49131 3.26393 14.396
-0.573244 -9.41641 3.94405 13.9496
-0.720502 -9.32688 4.60309 13.4874
-0.866187 -9.2232 5.24028 13.0099
-1.01008 -9.10583 5.85492 12.5177
-1.15198 -8.97527 6.44631 12.0117
-1.29168 -8.83202 7.01379 11.4926
-1.42898 -8.67662 7.55675 10.9611
-1.5637 -8.50959 8.0746 10.4184
-1.69567 -8.33148 8.56681 9.86554
-1.82471 -8.14286 9.0329 9.30374
-1.95067 -7.94428 9.47244 8.73446
-2.07339 -7.73634 9.88509 8.15933
-2.19274 -7.51961 10.2706 7.58019
-2.30858 -7.29468 10.6287 6.9992
-2.4208 -7.06215 10.9594 6.41876
-2.52927 -6.82262 11.2626 5.84168
-2.6339 -6.57667 11.5386 5.27113
-2.73458 -6.3249 11.7876 4.71072
-2.83125 -6.0679 12.0102 4.16457
-2.92381 -5.80623 12.2069 3.63736
-3.0122 -5.54044 12.3788 3.13434
-3.09637 -5.27108 12.5269 2.66143
-3.17627 -4.99865 12.6526 2.22523
-3.25184 -4.72362 12.7577 1.83305
-3.32305 -4.44644 12.8443 1.49293
-3.38989 -4.16749 12.9149 1.21358
-3.45231 -3.8871 12.9722 1.00436
-3.5103 -3.60555 13.0196 0.875189
-3.56385 -3.32303 13.061 0.836324
-3.61294 -3.03965 13.1005 0.898197
-3.65755 -2.75541 13.1429 1.0711
-3.69768 -2.47024 13.1935 1.36484
-3.73331 -2.18391 13.258 1.78833
-3.7644 -1.89611 13.3425 2.34907
-3.79095 -1.60634 13.4535 3.05277
-3.81289 -1.31401 13.5977 3.90277
-3.8302 -1.01835 13.7821 4.8997
-3.8428 -0.718437 14.0136 6.04112
-3.85062 -0.413223 14.299 7.32141
-3.85355 -0.101492 14.6449 8.73173
-3.85148 0.218105 15.0574 10.2603
-3.84427 0.547051 15.5421 11.8926
-3.83176 0.886943 16.104 13.6124
-3.81374 1.23948 16.7471 15.402
-3.79001 1.60645 17.4748 17.2432
-3.76031 1.98971 18.2894 19.1181
-3.72436 2.39115 19.1926 21.0098
-3.68187 2.8127 20.1852 22.9026
-3.63248 3.2563 21.2672 24.7833
-3.57582 3.72389 22.4381 26.6404
-3.51151 4.2174 23.6967 28.465
-3.43911 4.73871 25.0415 30.2504
-3.35815 5.28969 26.4706 31.992
-3.26816 5.87216 27.9821 33.6869
-3.16862 6.48788 29.5736 35.3342
-3.05897 7.13857 31.2429 36.934
-2.93866 7.82591 32.9878 38.4876
-2.80709 8.55153 34.8061 39.9969
-2.66363 9.31701 36.6958 41.4646
-2.50764 10.1239 38.6547 42.8935
-2.33846 10.9736 40.6812 44.2867
-2.15538 11.8677 42.7735 45.6474
-1.9577 12.8075 44.93 46.9787
-1.74469 13.7945 47.1495 48.2836
-1.51557 14.8299 49.4306 49.565
-1.26957 15.9152 51.7723 50.8256
-1.0059 17.0516 54.1735 52.0677
-0.723736 18.2404 56.6334 53.2938
-0.422233 19.4829 59.1512 54.5058
-0.100534 20.7803 61.7263 55.7057
0.24224 22.1338 64.358 56.8951
0.606988 23.5448 67.046 58.0755
0.994626 25.0144 69.7897 59.2483
1.40609 26.7144 72.5888 -627.511
1.84234 28.1775 42.9427 1950.62
Elapsed time: 0.0064205s
